any_restatement,restatement_fraud,restatement_error,restatement_other,restatement_accrules,restatement_chng_netincome,restatement_neg_chng_netincome,gvkey,fyear,cboard,supermajor,ppill,goldenparachute,eindex,sum_own,tobins_q,ln_q,ln_at,debt_ratio,capex,rd_to_at_zero,rd_to_sales_zero,rd_missing,sum_own_sq,return_on_asset,stkname,instown_perc,sector
0,0,0,0,0,0,0,1004,1998,1,1,1,1,5,0,1.58865,.4628845,6.508112,.2650714,.0260902,0,0,1,0,.053175,"AAR CORP",.8479487,"Wholesale"
0,0,0,0,0,0,0,1004,1999,1,1,1,1,5,0,1.233778,.2100806,6.588418,.2495892,.0497241,0,0,1,0,.0573483,"AAR CORP",.7300887,"Wholesale"
0,0,0,0,0,0,0,1004,2000,1,1,1,1,5,0,.9692534,-.0312292,6.607998,.2790304,.0301539,0,0,1,0,.0474536,"AAR CORP",.7715061,"Wholesale"
0,0,0,0,0,0,0,1004,2001,1,1,1,1,5,0,.97413,-.0262105,6.553725,.2758964,.0187133,0,0,1,0,.0264029,"AAR CORP",.824848,"Wholesale"
0,0,0,0,0,0,0,1004,2002,1,1,1,1,5,0,1.033451,.0329036,6.565545,.36641,.0170544,0,0,1,0,-.0829894,"AAR CORP",.8561243,"Wholesale"
0,0,0,0,0,0,0,1004,2003,1,1,1,1,5,0,.7462071,-.2927521,6.531783,.3741715,.0144621,0,0,1,0,-.018074,"AAR CORP",.8332486,"Wholesale"
0,0,0,0,0,0,0,1004,2004,1,1,1,1,5,0,.9853306,-.0147781,6.564267,.3553656,.0145018,0,0,1,0,.0049401,"AAR CORP",.9444027,"Wholesale"
0,0,0,0,0,0,0,1004,2005,1,1,1,1,5,0,1.259272,.2305335,6.596095,.3153435,.0177991,0,0,1,0,.0253636,"AAR CORP",.9543991,"Wholesale"
0,0,0,0,0,0,0,1004,2006,1,1,1,1,5,0,1.443958,.3673878,6.886347,.3278083,.0166486,0,0,1,0,.0359239,"AAR CORP",1.091006,"Wholesale"
0,0,0,0,0,0,0,1004,2007,1,1,1,1,6,4.67,1.648002,.4995637,6.973199,.3070868,.0279974,0,0,1,21.8089,.0556811,"AAR CORP",1.106016,"Wholesale"
0,0,0,0,0,0,0,1004,2008,1,1,1,1,6,3.56,1.098588,.0940255,7.216717,.3898004,.0222715,0,0,1,12.6736,.0556127,"AAR CORP",1.140917,"Wholesale"
0,0,0,0,0,0,0,1004,2009,1,1,1,1,6,3.19,.9088477,-.0955777,7.228034,.3314558,.019989,0,0,1,10.1761,.0585113,"AAR CORP",.9963346,"Wholesale"
0,0,0,0,0,0,0,1004,2010,1,1,1,1,6,5.232,.9824081,-.0177485,7.313915,.2911471,.0192233,0,0,1,27.37382,.0297313,"AAR CORP",.9907812,"Wholesale"
0,0,0,0,0,0,0,1004,2011,1,1,1,1,6,5.312,1.067883,.0656779,7.440574,.2605329,.0732975,0,0,1,28.21734,.0429288,"AAR CORP",.9155291,"Wholesale"
0,0,0,0,0,0,0,1004,2012,1,1,1,1,6,5.041,.7744328,-.2556244,7.694235,.360874,.0415448,0,0,1,25.41168,.0308441,"AAR CORP",.8412552,"Wholesale"
0,0,0,0,0,0,0,1004,2013,1,0,1,1,5,4.175,.8751476,-.1333627,7.667111,.3316019,.0175956,0,0,1,17.43062,.0257382,"AAR CORP",.9473169,"Wholesale"
0,0,0,0,0,0,0,1004,2014,1,0,1,1,5,4.659,.908892,-.095529,7.695985,.2882473,.0120482,0,0,1,21.70628,.0331439,"AAR CORP",.880084,"Wholesale"
0,0,0,0,0,0,0,1004,2015,1,0,1,1,5,5.058,1.063825,.0618712,7.323171,.1016502,.0305611,0,0,1,25.58336,-.0359736,"AAR CORP",.8825727,"Wholesale"
0,0,0,0,0,0,0,1004,2016,1,0,1,1,5,7.003,.960066,-.0407533,7.273856,.1026975,.0612995,0,0,1,49.04201,.028084,"AAR CORP",.8935177,"Wholesale"
0,0,0,0,0,0,0,1004,2017,1,0,0,1,4,8.208,1.1655,.1531503,7.31595,.1045808,.0223389,0,0,1,67.37127,.0333754,"AAR CORP",.7720745,"Wholesale"
0,0,0,0,0,0,0,1004,2018,1,0,0,1,4,5.554,1.393165,.3315778,7.329553,.1162196,.0144291,0,0,1,30.84691,.0483374,"AAR CORP",.8560498,"Wholesale"
1,0,0,0,1,1,1,1013,2006,1,0,1,1,3,0,1.480906,.3926541,7.384859,.2482314,.0206653,.0449299,.0564787,0,0,.0584585,"A D C TELECOMMUNICATIONS",.7151855,"Electronic Equipment"
0,0,0,0,0,0,0,1013,2007,1,1,1,1,6,.024,1.65119,.5014962,7.475793,.2273345,.0184157,.0394379,.0526395,0,.000576,.0641999,"A D C TELECOMMUNICATIONS",.8756245,"Electronic Equipment"
0,0,0,0,0,0,0,1013,2008,1,1,1,1,6,.006,.8628537,-.1475101,7.560601,.3400833,.0220718,.0434669,.0573331,0,.000036,-.023113,"A D C TELECOMMUNICATIONS",.9310799,"Electronic Equipment"
0,0,0,0,0,0,0,1013,2009,1,1,1,1,6,1.478,1.312849,.2721996,7.203108,.4849658,.0238166,.0486008,.0655162,0,2.184484,-.3466061,"A D C TELECOMMUNICATIONS",.8314564,"Electronic Equipment"
0,0,0,0,0,0,0,1013,2010,1,1,1,1,6,0,1.52867,.4243981,7.296074,.4415734,.019939,.0472703,.0602628,0,0,.0523567,"A D C TELECOMMUNICATIONS",.1167195,"Electronic Equipment"
0,0,0,0,0,0,0,1034,2007,0,0,0,1,3,0,1.096233,.0918798,7.160974,.2414535,.0469653,.1088797,.1941447,0,0,-.0105429,"ALPHARMA INC",1.150487,"Pharmaceutical Products"
0,0,0,0,0,0,0,1045,2015,0,0,0,1,3,.622,1.429985,.3576642,10.78757,.4246824,.1270474,0,0,1,.386884,.1571827,"AMERICAN AIRLINES GROUP INC",.7086376,"Transportation"
0,0,0,0,0,0,0,1045,2016,0,0,0,1,3,.646,1.387907,.3277971,10.84494,.4747825,.111772,0,0,1,.417316,.0521902,"AMERICAN AIRLINES GROUP INC",.7796156,"Transportation"
0,0,0,0,0,0,0,1045,2017,0,0,0,0,2,.816,1.404344,.3395705,10.84732,.4876839,.1161764,0,0,1,.665856,.0373375,"AMERICAN AIRLINES GROUP INC",.7691464,"Transportation"
0,0,0,0,0,0,0,1045,2018,0,0,0,0,2,.95,1.246768,.2205548,11.01172,.56172,.0618191,0,0,1,.9025,.023308,"AMERICAN AIRLINES GROUP INC",.7620174,"Transportation"
0,0,0,0,0,0,0,1056,1999,1,0,1,0,2,0,2.562677,.9410525,5.107254,.1883413,.0551036,.0793628,.0834606,0,0,.059056,"AEROFLEX INC",.5105336,"Measuring and Control Equipment"
0,0,0,0,0,0,0,1056,2000,1,0,1,0,2,0,5.746443,1.748581,5.516275,.0584986,.029002,.0441483,.0590564,0,0,.0578995,"AEROFLEX INC",.9003349,"Measuring and Control Equipment"
